Dates,FTSEPrice,MSCIPrice,VWOBid,VWOAsk,VWOPrice,EMFBid,EMFAsk,EMFVolume,EMFOI,FMEMOI,FMEMVolume,EMFPrice,FMEMBid,FMEMAsk,FMEMTrade,VWOAdjBid,VWOAdjAsk,VWOAdjPrice,EMFAdjBid,EMFAdjAsk,EMFAdjPrice,FMEMAdjBid,FMEMAdjAsk,FMEMAdjPrice,VWOBuy10DRet,VWOSell10DRet,VWOTrade10DRet,EMFBuy10DRet,EMFSell10DRet,EMFTrade10DRet,FMEMBuy10DRet,FMEMSell10DRet,FMEMTrade10DRet,EMFBuyHedge,EMFSellHedge,EMFTradeHedge,FMEMBuyHedge,FMEMSellHedge,FMEMTradeHedge,EMFvsFMEM_BuyHedge,EMFvsFMEM_SellHedge,EMFvsFMEM_TradeHedge,FTSE10DRet,FTSE10PRet
6/13/2014,520.64,1049.14,43.61,43.55,43.63,511.8,513,1,1,211225,41988,517.35,1049.8,1052.6,1051.7,52332,52260,52356,51180,51300,51735,52490,52630,52585,-420,516,-504,#VALUE!,#VALUE!,-175,-465,290,-390,#VALUE!,#VALUE!,-329,51,-130,-114,#VALUE!,#VALUE!,215,-172,-0.003103196
6/16/2014,518.82,1046.28,43.33,43.33,43.4,511.8,513,2,1,200286,83526,513,1030.1,1038.9,1036.7,51996,51996,52080,51180,51300,51300,51505,51945,51835,-240,240,-228,255,-455,260,155,-1245,200,495,-695,-488,395,-1485,-428,100,-790,60,203,0.002088127
6/17/2014,517.21,1043.53,43.36,43.28,43.35,510.7,512.35,13,3,268579,85858,512.35,1036,1039.3,1038.4,52032,51936,52020,51070,51235,51235,51800,51965,51920,288,-96,240,#VALUE!,#VALUE!,325,450,-770,610,#VALUE!,#VALUE!,-85,354,-482,-370,#VALUE!,#VALUE!,-285,432,0.005749677
6/18/2014,518.29,1044.57,43.86,43.83,43.96,517.1,518.55,3,14,297090,56111,517.1,1048.6,1051,1048.2,52632,52596,52752,51710,51855,51710,52430,52550,52410,-60,192,-120,365,-625,510,240,-460,420,557,-685,-630,432,-520,-540,125,165,90,753,-0.004373933
6/19/2014,521.27,1049.94,43.59,43.59,43.6,514.9,515.6,41,8,317341,46302,514.95,1035,1044,1041.3,52308,52308,52320,51490,51560,51495,51750,52200,52065,504,-336,528,#VALUE!,#VALUE!,895,925,-1500,1120,#VALUE!,#VALUE!,-367,589,-996,-592,#VALUE!,#VALUE!,-225,575,-0.002620474
6/20/2014,518.99,1043.86,43.61,43.52,43.63,514.9,515.4,11,48,319171,16605,514.95,1037.6,1040.2,1039.4,52332,52224,52356,51490,51540,51495,51880,52010,51970,#VALUE!,#VALUE!,492,#VALUE!,#VALUE!,895,#VALUE!,#VALUE!,535,#VALUE!,#VALUE!,-403,#VALUE!,#VALUE!,-43,#VALUE!,#VALUE!,360,860,0.004945618
6/23/2014,517.63,1042.33,43.41,43.33,43.45,513.45,514.4,1,16,321593,13529,514.9,1036.1,1038.5,1037.5,52092,51996,52140,51345,51440,51490,51805,51925,51875,924,-804,852,#VALUE!,-1410,1150,#VALUE!,#VALUE!,1220,#VALUE!,-486,-298,#VALUE!,#VALUE!,-368,#VALUE!,#VALUE!,-70,1125,-0.005209635
6/24/2014,520.19,1048.14,42.93,43,43.02,513.2,514.05,56,6,322717,20605,514.05,1036.5,1039.9,1037.7,51516,51600,51624,51320,51405,51405,51825,51995,51885,1092,-1188,1464,1020,-1170,1135,880,-1140,965,-168,-78,329,-308,-48,499,-140,30,-170,868,0.00297596
6/25/2014,517.48,1041.78,43.11,42.99,43.12,514.6,514.75,50,62,324978,17343,514.1,1037.6,1040.9,1039.7,51732,51588,51744,51460,51475,51410,51880,52045,51985,1416,-1248,1344,1325,-1395,1330,1120,-1620,1195,77,21,14,-128,-204,149,-51,-183,-135,967,-0.000192671
6/26/2014,519.02,1046.81,43.09,43.05,43.14,514.85,515.3,35,107,323856,13164,514.1,1037.2,1042.4,1040.9,51708,51660,51768,51485,51530,51410,51860,52120,52045,1020,-936,960,890,-1050,1125,635,-1170,870,-46,-30,-165,-301,-150,90,-255,-120,75,898,0.003719263
6/27/2014,518.92,1046.18,43.2,43.18,43.21,515.9,517.05,#N/A N/A,92,324904,14292,515.6,1043.3,1044,1043.9,51840,51816,51852,51590,51705,51560,52165,52200,52195,960,-876,996,830,-1055,975,575,-810,675,-46,-95,21,-301,150,321,-255,-55,-300,824,0.001305558
6/30/2014,520.85,1050.78,43.13,43.13,43.21,515.55,516.35,10,85,334661,18334,515.6,1042,1055,1040.7,51756,51756,51852,51555,51635,51560,52100,52750,52035,1428,-1356,1368,1240,-1440,1315,150,-1400,1225,-116,-12,53,-1206,28,143,-1090,-16,-90,881,0.008225797
7/1/2014,521.53,1051.39,43.52,43.44,43.55,522.2,523.35,#N/A N/A,45,327074,12949,NA,1048.3,1051.4,1050.6,52224,52128,52260,52220,52335,51560,52415,52570,52530,984,-828,924,#VALUE!,#VALUE!,1315,550,-795,690,#VALUE!,#VALUE!,-391,-278,189,234,#VALUE!,#VALUE!,157,963,0.00228215
7/2/2014,525.82,1060.57,43.78,43.7,43.86,522.2,523.35,19,35,318351,15410,522.2,1055.8,1057.8,1056.6,52536,52440,52632,52220,52335,52220,52790,52890,52830,840,-744,720,725,-955,840,310,-960,585,-19,-115,-120,-434,-120,135,-415,-5,-15,611,0.003529278
7/3/2014,527.02,1062.18,44.01,43.87,44.04,524.25,527.55,#N/A N/A,49,317618,12110,523.9,1062.5,1065,1063.7,52812,52644,52848,52425,52755,52390,53125,53250,53185,-384,564,-576,#VALUE!,#VALUE!,-205,-1250,715,-790,#VALUE!,#VALUE!,-371,-686,331,214,#VALUE!,#VALUE!,157,199,-1.89E-05
7/4/2014,527.59,1062.4,NA,NA,NA,524.25,527.55,11,43,318356,1406,523.9,#N/A N/A,#N/A N/A,1050.1,52920,52896,52848,52425,52755,52390,52875,52965,52505,#VALUE!,#VALUE!,288,#VALUE!,#VALUE!,490,#VALUE!,#VALUE!,685,#VALUE!,#VALUE!,-202,#VALUE!,#VALUE!,-397,#VALUE!,#VALUE!,-195,206,-0.003252217
7/7/2014,528.88,1064.33,44.1,44.08,44.16,524.25,527.55,#N/A N/A,35,321088,11647,526.4,#N/A N/A,#N/A N/A,1061.9,52920,52896,52992,52425,52755,52640,52875,52965,53095,372,-348,336,265,#VALUE!,380,#VALUE!,#VALUE!,280,-83,#VALUE!,-44,#VALUE!,#VALUE!,56,#VALUE!,#VALUE!,-12,86,0.001612444
7/8/2014,528.87,1064.73,43.91,43.92,44.24,524.25,524.9,6,13,322243,12371,525.4,1057.5,1059.3,1057,52692,52704,53088,52425,52490,52540,52875,52965,52850,1116,-1068,756,1085,-1270,1035,820,-1075,1035,17,-154,-279,-248,41,-279,-231,113,0,665,-0.001590909
7/9/2014,527.15,1060.93,44.17,44.15,44.24,528,528.55,11,19,322982,10172,527.4,1063.3,1070,1063.6,53004,52980,53088,52800,52855,52740,53165,53500,53180,852,-852,828,745,-920,860,305,-745,690,-107,-68,-32,-547,107,138,-440,-39,-106,1022,0.004742393
7/10/2014,528,1062.37,43.9,43.87,43.94,524.2,525.35,10,15,327653,18476,525.35,1055.1,1060.6,1058.3,52680,52644,52728,52420,52535,52535,52755,53030,52915,1452,-1344,1404,1285,-1520,1285,#VALUE!,#VALUE!,1220,-59,-68,119,#VALUE!,#VALUE!,184,#VALUE!,#VALUE!,-65,1150,0.002832005
7/11/2014,527.16,1058.67,43.98,43.93,44.04,525.35,526.45,10,25,328241,12461,525.35,1055.5,1059.5,1057.4,52776,52716,52848,52535,52645,52535,52775,52975,52870,1164,-1104,1080,995,-1225,1225,940,-1470,1070,-109,-61,-145,-164,-306,10,-55,-245,135,1049,0.001449657
7/14/2014,529.66,1063.66,44.32,44.26,44.35,528.75,529.95,#N/A N/A,27,330550,8302,528.75,1058,1070,1065.2,53184,53112,53220,52875,52995,52875,52900,53500,53260,1056,-912,960,945,-1185,1065,695,-1525,1070,33,-129,-105,-217,-469,-110,-184,-340,-5,759,-0.005489444
